date,athlete,energy (J/kg),min_from_start,duration_min,energy_per_min,from_time,gd,last_gd,betting_position
match25,athlete1,3838,5.0,5.0,767.6,0.0,0,0,favorite
match25,athlete1,2553,10.0,5.0,510.6,5.0,0,0,favorite
match25,athlete1,2186,15.0,5.0,437.2,10.0,0,0,favorite
match25,athlete1,1785,20.0,5.0,357.0,15.0,0,0,favorite
match25,athlete1,3053,25.0,5.0,610.6,20.0,1,0,favorite
match25,athlete1,2875,30.0,5.0,575.0,25.0,1,0,favorite
match25,athlete1,2414,35.0,5.0,482.8,30.0,1,0,favorite
match25,athlete1,3109,40.0,5.0,621.8,35.0,1,0,favorite
match25,athlete1,2425,45.0,5.0,485.0,40.0,1,0,favorite
match25,athlete1,1053,46.0,1.0,1053.0,45.0,1,0,favorite
match25,athlete1,3391,51.0,5.0,678.2,46.0,1,0,favorite
match25,athlete1,1913,56.0,5.0,382.6,51.0,1,0,favorite
match25,athlete1,3549,61.0,5.0,709.8,56.0,2,1,favorite
match25,athlete1,2281,66.0,5.0,456.2,61.0,2,1,favorite
match25,athlete1,2393,71.0,5.0,478.6,66.0,2,1,favorite
match25,athlete1,1944,76.0,5.0,388.8,71.0,2,1,favorite
match25,athlete1,1892,81.0,5.0,378.4,76.0,2,1,favorite
match25,athlete1,1868,86.0,5.0,373.6,81.0,2,1,favorite
match25,athlete1,2236,91.0,5.0,447.2,86.0,2,1,favorite
match25,athlete1,1980,96.0,5.0,396.0,91.0,2,1,favorite
match25,athlete1,178,97.0,1.0,178.0,96.0,2,1,favorite
match29,athlete1,4025,5.0,5.0,805.0,0.0,0,0,favorite
match29,athlete1,3325,10.0,5.0,665.0,5.0,0,0,favorite
match29,athlete1,2673,15.0,5.0,534.6,10.0,0,0,favorite
match29,athlete1,2005,20.0,5.0,401.0,15.0,0,0,favorite
match29,athlete1,2650,25.0,5.0,530.0,20.0,0,0,favorite
match29,athlete1,3105,30.0,5.0,621.0,25.0,0,0,favorite
match29,athlete1,2872,35.0,5.0,574.4,30.0,0,0,favorite
match29,athlete1,1941,40.0,5.0,388.2,35.0,0,0,favorite
match29,athlete1,2198,45.0,5.0,439.6,40.0,0,0,favorite
match29,athlete1,1804,50.0,5.0,360.8,45.0,0,0,favorite
match29,athlete1,2610,55.0,5.0,522.0,50.0,0,0,favorite
match29,athlete1,1464,60.0,5.0,292.8,55.0,0,0,favorite
match29,athlete1,3329,65.0,5.0,665.8,60.0,0,0,favorite
match29,athlete1,2258,70.0,5.0,451.6,65.0,0,0,favorite
match29,athlete1,1677,75.0,5.0,335.4,70.0,0,0,favorite
match29,athlete1,996,80.0,5.0,199.2,75.0,0,0,favorite
match29,athlete1,1649,85.0,5.0,329.8,80.0,0,0,favorite
match29,athlete1,1985,90.0,5.0,397.0,85.0,2,0,favorite
match29,athlete1,2738,95.0,5.0,547.6,90.0,2,0,favorite
match29,athlete1,2452,100.0,5.0,490.4,95.0,2,0,favorite
match29,athlete1,338,102.0,1.0,338.0,101.0,2,0,favorite
match24,athlete1,2520,4.0,4.0,630.0,0.0,0,0,underdog
match24,athlete1,3482,9.0,5.0,696.4,4.0,0,0,underdog
match24,athlete1,2092,14.0,5.0,418.4,9.0,-1,0,underdog
match24,athlete1,2749,19.0,5.0,549.8,14.0,-1,0,underdog
match24,athlete1,1893,24.0,5.0,378.6,19.0,-1,0,underdog
match24,athlete1,2489,28.0,4.0,622.25,24.0,0,-1,underdog
match33,athlete1,3035,5.0,5.0,607.0,0.0,0,0,close
match33,athlete1,1799,10.0,5.0,359.8,5.0,0,0,close
match33,athlete1,2113,15.0,5.0,422.6,10.0,0,0,close
match33,athlete1,2514,20.0,5.0,502.8,15.0,0,0,close
match33,athlete1,2691,25.0,5.0,538.2,20.0,-1,0,close
match33,athlete1,2491,30.0,5.0,498.2,25.0,-1,0,close
match33,athlete1,2211,35.0,5.0,442.2,30.0,-1,0,close
match33,athlete1,2271,40.0,5.0,454.2,35.0,-1,0,close
match33,athlete1,2483,45.0,5.0,496.6,40.0,-1,0,close
match33,athlete1,2476,49.0,4.0,619.0,45.0,-1,0,close
match33,athlete1,2523,54.0,5.0,504.6,49.0,-1,0,close
match33,athlete1,2091,59.0,5.0,418.2,54.0,-1,0,close
match33,athlete1,2575,64.0,5.0,515.0,59.0,-1,0,close
match33,athlete1,2741,69.0,5.0,548.2,64.0,-1,0,close
match33,athlete1,2976,74.0,5.0,595.2,69.0,-1,0,close
match33,athlete1,2389,79.0,5.0,477.8,74.0,-1,0,close
match33,athlete1,2863,84.0,5.0,572.6,79.0,-1,0,close
match33,athlete1,1428,86.0,2.0,714.0,84.0,-1,0,close
match15,athlete1,1981,3.0,3.0,660.3333333333334,0.0,0,0,favorite
match15,athlete1,2152,8.0,5.0,430.4,3.0,0,0,favorite
match15,athlete1,2748,13.0,5.0,549.6,8.0,0,0,favorite
match15,athlete1,2144,18.0,5.0,428.8,13.0,0,0,favorite
match15,athlete1,2528,23.0,5.0,505.6,18.0,0,0,favorite
match15,athlete1,2590,28.0,5.0,518.0,23.0,0,0,favorite
match15,athlete1,2678,33.0,5.0,535.6,28.0,0,0,favorite
match15,athlete1,2940,38.0,5.0,588.0,33.0,0,0,favorite
match15,athlete1,2138,43.0,5.0,427.6,38.0,0,0,favorite
match15,athlete1,867,47.0,3.0,289.0,44.0,0,0,favorite
match1,athlete1,1906,4.0,4.0,476.5,0.0,0,0,close
match1,athlete1,2294,9.0,5.0,458.8,4.0,0,0,close
match1,athlete1,2804,14.0,5.0,560.8,9.0,0,0,close
match1,athlete1,3036,19.0,5.0,607.2,14.0,0,0,close
match1,athlete1,2876,24.0,5.0,575.2,19.0,0,0,close
match1,athlete1,2637,29.0,5.0,527.4,24.0,1,0,close
match1,athlete1,2520,34.0,5.0,504.0,29.0,1,0,close
